block_id,total_gas,total_mev_captured,validator_type,validator_id
1,30975000,410000,attack,874
2,4925000,0,normal,882
3,36890000,200000,attack,857
4,38027000,0,attack,862
5,8945000,46500,normal,887
6,45567000,17700000,normal,893
7,9721000,0,attack,859
8,13372000,20028800,attack,858
9,1352000,146000,normal,877
10,11193000,86400,normal,900
11,9400000,0,normal,882
12,15698000,231000,attack,860
13,58847000,389400,normal,892
14,13974000,19700,normal,891
15,7370000,0,normal,879
16,10167000,42000,attack,859
17,21850000,224600,attack,858
18,10044000,0,normal,900
19,15900000,13900,normal,893
20,9401000,36800,normal,880
21,14560000,141800,attack,866
22,23687000,5180,normal,878
23,12785000,0,attack,861
24,18517000,21800,attack,865
25,11813000,49100,normal,881
26,25863000,534700,attack,871
27,12550000,1139400,attack,867
28,26277000,217500,attack,858
29,41403000,5630,attack,861
30,11590000,15700,attack,865
31,18958000,238100,attack,867
32,30762000,0,attack,854
33,51338000,81620,normal,894
34,6820000,128000,normal,882
35,50585000,15300,attack,851
36,88360000,13800,normal,881
37,82990000,1098600,normal,891
38,20348000,0,attack,853
39,31620000,0,attack,873
40,9900000,0,normal,894
41,56447000,14200,attack,867
42,4493000,599900,normal,893
43,42300000,0,attack,872
44,37099000,49100,normal,895
45,13350000,29800,normal,880
46,20409000,100800,normal,899
47,7449000,0,attack,858
48,122900000,7190000,attack,869
49,16439000,0,normal,897
50,9812000,0,attack,873
