block_id,total_gas,total_mev_captured,validator_type,validator_id
1,1172470000,43080090,attack,58
2,1122830000,76561000,normal,85
3,993220000,24081100,normal,72
4,1058061000,60415560,attack,58
5,942790000,109482700,normal,72
6,1150368000,76053700,normal,95
7,1085240000,40044200,normal,67
8,1416500000,12570940,normal,86
9,1187000000,18829590,attack,52
10,1442400000,18565460,normal,61
11,888290000,143794440,normal,61
12,871710000,79194360,normal,91
13,1252420000,66592070,normal,61
14,1408780000,14890700,normal,96
15,1145290000,54698480,normal,93
16,1264033000,75431440,normal,88
17,1366180000,61430670,normal,69
18,917705000,37028000,attack,51
19,1239632000,84975280,normal,99
20,842519000,121989200,normal,84
21,1073160000,22856600,normal,83
22,1286890000,75116900,normal,94
23,1086034000,75082600,normal,96
24,1241565000,75137910,normal,63
25,1025500000,26609400,normal,66
26,1055380000,14702500,normal,84
27,1110285000,58473800,normal,89
28,801012000,75217740,attack,59
29,1027690000,31377320,normal,93
30,1241890000,43519830,normal,84
31,1180800000,20475400,normal,82
32,1168760000,22409700,normal,79
33,1015110000,34152000,attack,57
34,1246989000,58072900,normal,67
35,1390260000,25177310,normal,69
36,1289422000,111137210,normal,81
37,1039667000,104349630,normal,81
38,1520500000,18948800,normal,90
39,1400600000,39915540,normal,61
40,1107050000,158495030,normal,64
41,1002543000,77753200,normal,68
42,1001070000,55130200,normal,63
43,888900000,108640090,normal,88
44,1095100000,80419000,normal,96
45,1385400000,18200900,attack,59
46,912840000,104472330,normal,90
47,1384420000,56228330,normal,99
48,1311890000,69559240,normal,73
49,1305120000,22069190,normal,72
50,835543000,109602100,normal,90
