block_id,total_gas,total_mev_captured,block_bid,validator_type
1,11040000,0,,attack
2,21819000,1099440,,attack
3,33975000,784680,,attack
4,18811000,211840,,attack
5,27028000,1569200,,attack
6,54829000,557900,,attack
7,28641000,328000,,attack
8,18200000,132200,,attack
9,19508000,8689100,,attack
10,19390000,16400,,normal
11,23980000,1190000,,attack
12,60783000,12780,,attack
13,25509000,391800,,attack
14,23799000,620800,,attack
15,28212000,1538000,,attack
16,21828000,872000,,attack
17,20948000,24600,,attack
18,61707000,851500,,attack
19,32119000,648100,,normal
20,35061000,228100,,attack
21,17153000,24700,,normal
22,29024000,268530,,normal
23,26976000,65100,,attack
24,36423000,130700,,attack
25,70300000,1493300,,attack
26,21798000,715400,,attack
27,18283000,306880,,attack
28,34021000,98300,,attack
29,23554000,162300,,attack
30,24556000,317500,,attack
31,35770000,594000,,normal
32,20029000,1538000,,attack
33,66433000,207360,,attack
34,13805000,330600,,normal
35,43450000,110930,,attack
36,31705000,462000,,attack
37,40465000,609600,,attack
38,23700000,607100,,attack
39,23415000,27800,,attack
40,60156000,583900,,attack
41,18650000,49100,,attack
42,45217000,215100,,attack
43,23166000,28400,,attack
44,26372000,27600,,attack
45,25152000,8795000,,attack
46,19950000,283100,,normal
47,37222000,6260,,attack
48,78883000,22400,,attack
49,40990000,1538000,,attack
50,31208000,213800,,attack
51,25838000,382100,,attack
52,26137000,115880,,attack
53,63608000,210700,,attack
54,21861000,845700,,normal
55,25526000,430340,,attack
56,46049000,902600,,attack
57,38042000,1059100,,attack
58,21770000,104240,,attack
59,15237000,41300,,attack
60,64697000,71400,,attack
61,57764000,66200,,attack
62,60354000,1035300,,attack
63,29218000,1218640,,attack
64,15991000,888100,,attack
65,25453000,179300,,attack
66,64615000,169600,,attack
67,46500000,1110000,,attack
68,26390000,4336400,,normal
69,20690000,653600,,attack
70,75353000,47000,,attack
71,25501000,1579800,,attack
72,37967000,159000,,attack
73,25410000,136200,,attack
74,27250000,590500,,normal
75,38048000,1144800,,attack
76,16852000,58000,,normal
77,82440000,441400,,attack
78,31181000,2076700,,attack
79,23193000,1229000,,attack
80,17690000,116730,,normal
81,26623000,444200,,attack
82,36115000,0,,normal
83,27833000,49400,,attack
84,27395000,93000,,attack
85,39372000,314100,,attack
86,36725000,558000,,attack
87,20396000,30200,,attack
88,24188000,0,,attack
89,34775000,143600,,attack
90,18193000,1929200,,attack
91,20043000,0,,attack
92,15362000,1263580,,attack
93,29585000,496200,,attack
94,21455000,60700,,normal
95,24537000,362700,,attack
96,14492000,588600,,attack
97,49905000,710800,,attack
98,50541000,12800,,normal
99,93339000,657600,,attack
100,91297000,79100,,attack
