block_num,builder_id,total_gas_fee,total_mev
0,builder_5,66373000,293730
1,builder_10,134529991,7746180
2,builder_16,31696998,333600
3,builder_18,89089994,18081300
4,builder_10,132958995,394600
5,builder_18,301789998,143600
6,builder_18,13800006,1019700
7,builder_2,93368004,866790
8,builder_18,52483998,190100
9,builder_10,23698004,37480
10,builder_6,13068995,89300
11,builder_1,58750002,4603000
12,builder_16,140362999,69500
13,builder_8,89539002,206100
14,builder_10,28056992,381000
15,builder_0,103330015,148020
16,builder_7,125584991,47300
17,builder_0,1149877989,1184800
18,builder_2,32560015,31400
19,builder_5,197442003,198600
20,builder_5,66373000,293730
21,builder_10,134529991,7746180
22,builder_16,31696998,333600
23,builder_18,89089994,18081300
24,builder_10,132958995,394600
25,builder_18,301789998,143600
26,builder_18,13800006,1019700
27,builder_2,93368004,866790
28,builder_18,52483998,190100
29,builder_10,23698004,37480
30,builder_6,13068995,89300
31,builder_1,58750002,4603000
32,builder_16,140362999,69500
33,builder_8,89539002,206100
34,builder_10,28056992,381000
35,builder_0,103330015,148020
36,builder_7,125584991,47300
37,builder_0,1149877989,1184800
38,builder_2,32560015,31400
39,builder_5,197442003,198600
40,builder_5,66373000,293730
41,builder_10,134529991,7746180
42,builder_16,31696998,333600
43,builder_18,89089994,18081300
44,builder_10,132958995,394600
45,builder_18,301789998,143600
46,builder_18,13800006,1019700
47,builder_2,93368004,866790
48,builder_18,52483998,190100
49,builder_10,23698004,37480
50,builder_6,13068995,89300
51,builder_1,58750002,4603000
52,builder_16,140362999,69500
53,builder_8,89539002,206100
54,builder_10,28056992,381000
55,builder_0,103330015,148020
56,builder_7,125584991,47300
57,builder_0,1149877989,1184800
58,builder_2,32560015,31400
59,builder_5,197442003,198600
60,builder_5,66373000,293730
61,builder_10,134529991,7746180
62,builder_16,31696998,333600
63,builder_18,89089994,18081300
64,builder_10,132958995,394600
65,builder_18,301789998,143600
66,builder_18,13800006,1019700
67,builder_2,93368004,866790
68,builder_18,52483998,190100
69,builder_10,23698004,37480
70,builder_6,13068995,89300
71,builder_1,58750002,4603000
72,builder_16,140362999,69500
73,builder_8,89539002,206100
74,builder_10,28056992,381000
75,builder_0,103330015,148020
76,builder_7,125584991,47300
77,builder_0,1149877989,1184800
78,builder_2,32560015,31400
79,builder_5,197442003,198600
80,builder_5,66373000,293730
81,builder_10,134529991,7746180
82,builder_16,31696998,333600
83,builder_18,89089994,18081300
84,builder_10,132958995,394600
85,builder_18,301789998,143600
86,builder_18,13800006,1019700
87,builder_2,93368004,866790
88,builder_18,52483998,190100
89,builder_10,23698004,37480
90,builder_6,13068995,89300
91,builder_1,58750002,4603000
92,builder_16,140362999,69500
93,builder_8,89539002,206100
94,builder_10,28056992,381000
95,builder_0,103330015,148020
96,builder_7,125584991,47300
97,builder_0,1149877989,1184800
98,builder_2,32560015,31400
99,builder_5,197442003,198600
100,builder_5,66373000,293730
101,builder_10,134529991,7746180
102,builder_16,31696998,333600
103,builder_18,89089994,18081300
104,builder_10,132958995,394600
105,builder_18,301789998,143600
106,builder_18,13800006,1019700
107,builder_2,93368004,866790
108,builder_18,52483998,190100
109,builder_10,23698004,37480
110,builder_6,13068995,89300
111,builder_1,58750002,4603000
112,builder_16,140362999,69500
113,builder_8,89539002,206100
114,builder_10,28056992,381000
115,builder_0,103330015,148020
116,builder_7,125584991,47300
117,builder_0,1149877989,1184800
118,builder_2,32560015,31400
119,builder_5,197442003,198600
120,builder_5,66373000,293730
121,builder_10,134529991,7746180
122,builder_16,31696998,333600
123,builder_18,89089994,18081300
124,builder_10,132958995,394600
125,builder_18,301789998,143600
126,builder_18,13800006,1019700
