block_num,builder_id,total_gas_fee,total_mev
0,builder_10,88916000,18885460
1,builder_13,121799000,18515600
2,builder_16,111714000,1113000
3,builder_10,102531000,1064830
4,builder_10,177267000,1224930
5,builder_14,122830000,96580
6,builder_5,191603000,9193870
7,builder_5,125829000,3112880
8,builder_12,70513000,123200
9,builder_10,94640000,6028000
10,builder_5,111509000,2116200
11,builder_16,89755000,1848300
12,builder_10,62735000,25137000
13,builder_5,89756000,1845080
14,builder_16,132897000,517030
15,builder_16,52086000,6451400
16,builder_11,75075000,506100
17,builder_16,87962000,568530
18,builder_5,75072000,2083820
19,builder_5,134670000,1181000
20,builder_10,168982000,1155100
21,builder_5,44815000,1105300
22,builder_8,94398000,2259000
23,builder_5,142949000,2263420
24,builder_2,132473000,1856100
25,builder_5,120455000,2496020
26,builder_11,174089000,885330
27,builder_2,114255000,2233590
28,builder_13,106513000,687120
29,builder_10,97289000,398100
30,builder_5,109415000,1023400
31,builder_16,37447000,1759500
32,builder_2,95486000,18831290
33,builder_5,114976000,20250570
34,builder_0,76611000,1331340
35,builder_10,108761000,639100
36,builder_10,88916000,18885460
37,builder_13,121799000,18515600
38,builder_16,111714000,1113000
39,builder_10,102531000,1064830
40,builder_10,177267000,1224930
41,builder_14,122830000,96580
42,builder_5,191603000,9193870
43,builder_5,125829000,3112880
44,builder_12,70513000,123200
45,builder_10,94640000,6028000
46,builder_5,111509000,2116200
47,builder_16,89755000,1848300
48,builder_10,62735000,25137000
49,builder_5,89756000,1845080
50,builder_16,132897000,517030
51,builder_16,52086000,6451400
52,builder_11,75075000,506100
53,builder_16,87962000,568530
54,builder_5,75072000,2083820
55,builder_5,134670000,1181000
56,builder_10,168982000,1155100
57,builder_5,44815000,1105300
58,builder_8,94398000,2259000
59,builder_5,142949000,2263420
60,builder_2,132473000,1856100
61,builder_5,120455000,2496020
62,builder_11,174089000,885330
63,builder_2,114255000,2233590
64,builder_13,106513000,687120
65,builder_10,97289000,398100
66,builder_5,109415000,1023400
67,builder_16,37447000,1759500
68,builder_2,95486000,18831290
69,builder_5,114976000,20250570
70,builder_0,76611000,1331340
71,builder_10,108761000,639100
72,builder_10,88916000,18885460
73,builder_13,121799000,18515600
74,builder_16,111714000,1113000
75,builder_10,102531000,1064830
76,builder_10,177267000,1224930
77,builder_14,122830000,96580
78,builder_5,191603000,9193870
79,builder_5,125829000,3112880
80,builder_12,70513000,123200
81,builder_10,94640000,6028000
82,builder_5,111509000,2116200
83,builder_16,89755000,1848300
84,builder_10,62735000,25137000
85,builder_5,89756000,1845080
86,builder_16,132897000,517030
87,builder_16,52086000,6451400
88,builder_11,75075000,506100
89,builder_16,87962000,568530
90,builder_5,75072000,2083820
91,builder_5,134670000,1181000
92,builder_10,168982000,1155100
93,builder_5,44815000,1105300
94,builder_8,94398000,2259000
95,builder_5,142949000,2263420
96,builder_2,132473000,1856100
97,builder_5,120455000,2496020
98,builder_11,174089000,885330
99,builder_2,114255000,2233590
100,builder_13,106513000,687120
101,builder_10,97289000,398100
102,builder_5,109415000,1023400
103,builder_16,37447000,1759500
104,builder_2,95486000,18831290
105,builder_5,114976000,20250570
106,builder_0,76611000,1331340
107,builder_10,108761000,639100
108,builder_10,88916000,18885460
109,builder_13,121799000,18515600
110,builder_16,111714000,1113000
111,builder_10,102531000,1064830
112,builder_10,177267000,1224930
113,builder_14,122830000,96580
114,builder_5,191603000,9193870
115,builder_5,125829000,3112880
116,builder_12,70513000,123200
117,builder_10,94640000,6028000
118,builder_5,111509000,2116200
119,builder_16,89755000,1848300
120,builder_10,62735000,25137000
121,builder_5,89756000,1845080
122,builder_16,132897000,517030
123,builder_16,52086000,6451400
124,builder_11,75075000,506100
125,builder_16,87962000,568530
126,builder_5,75072000,2083820
127,builder_5,134670000,1181000
128,builder_10,168982000,1155100
129,builder_5,44815000,1105300
130,builder_8,94398000,2259000
131,builder_5,142949000,2263420
132,builder_2,132473000,1856100
133,builder_5,120455000,2496020
134,builder_11,174089000,885330
135,builder_2,114255000,2233590
136,builder_13,106513000,687120
137,builder_10,97289000,398100
138,builder_5,109415000,1023400
139,builder_16,37447000,1759500
140,builder_2,95486000,18831290
141,builder_5,114976000,20250570
142,builder_0,76611000,1331340
143,builder_10,108761000,639100
144,builder_10,88916000,18885460
145,builder_13,121799000,18515600
146,builder_16,111714000,1113000
147,builder_10,102531000,1064830
148,builder_10,177267000,1224930
149,builder_14,122830000,96580
150,builder_5,191603000,9193870
151,builder_5,125829000,3112880
152,builder_12,70513000,123200
153,builder_10,94640000,6028000
154,builder_5,111509000,2116200
155,builder_16,89755000,1848300
156,builder_10,62735000,25137000
157,builder_5,89756000,1845080
158,builder_16,132897000,517030
159,builder_16,52086000,6451400
160,builder_11,75075000,506100
161,builder_16,87962000,568530
162,builder_5,75072000,2083820
163,builder_5,134670000,1181000
164,builder_10,168982000,1155100
165,builder_5,44815000,1105300
166,builder_8,94398000,2259000
167,builder_5,142949000,2263420
168,builder_2,132473000,1856100
169,builder_5,120455000,2496020
170,builder_11,174089000,885330
171,builder_2,114255000,2233590
172,builder_13,106513000,687120
173,builder_10,97289000,398100
174,builder_5,109415000,1023400
175,builder_16,37447000,1759500
176,builder_2,95486000,18831290
177,builder_5,114976000,20250570
178,builder_0,76611000,1331340
179,builder_10,108761000,639100
180,builder_10,88916000,18885460
181,builder_13,121799000,18515600
182,builder_16,111714000,1113000
183,builder_10,102531000,1064830
184,builder_10,177267000,1224930
185,builder_14,122830000,96580
186,builder_5,191603000,9193870
187,builder_5,125829000,3112880
188,builder_12,70513000,123200
189,builder_10,94640000,6028000
190,builder_5,111509000,2116200
191,builder_16,89755000,1848300
192,builder_10,62735000,25137000
193,builder_5,89756000,1845080
194,builder_16,132897000,517030
195,builder_16,52086000,6451400
196,builder_11,75075000,506100
197,builder_16,87962000,568530
198,builder_5,75072000,2083820
199,builder_5,134670000,1181000
200,builder_10,168982000,1155100
201,builder_5,44815000,1105300
202,builder_8,94398000,2259000
203,builder_5,142949000,2263420
204,builder_2,132473000,1856100
205,builder_5,120455000,2496020
206,builder_11,174089000,885330
207,builder_2,114255000,2233590
208,builder_13,106513000,687120
209,builder_10,97289000,398100
210,builder_5,109415000,1023400
211,builder_16,37447000,1759500
212,builder_2,95486000,18831290
213,builder_5,114976000,20250570
214,builder_0,76611000,1331340
215,builder_10,108761000,639100
216,builder_10,88916000,18885460
217,builder_13,121799000,18515600
218,builder_16,111714000,1113000
219,builder_10,102531000,1064830
220,builder_10,177267000,1224930
221,builder_14,122830000,96580
222,builder_5,191603000,9193870
223,builder_5,125829000,3112880
224,builder_12,70513000,123200
225,builder_10,94640000,6028000
226,builder_5,111509000,2116200
227,builder_16,89755000,1848300
228,builder_10,62735000,25137000
229,builder_5,89756000,1845080
230,builder_16,132897000,517030
231,builder_16,52086000,6451400
232,builder_11,75075000,506100
233,builder_16,87962000,568530
234,builder_5,75072000,2083820
235,builder_5,134670000,1181000
236,builder_10,168982000,1155100
237,builder_5,44815000,1105300
238,builder_8,94398000,2259000
239,builder_5,142949000,2263420
240,builder_2,132473000,1856100
241,builder_5,120455000,2496020
242,builder_11,174089000,885330
243,builder_2,114255000,2233590
244,builder_13,106513000,687120
245,builder_10,97289000,398100
246,builder_5,109415000,1023400
247,builder_16,37447000,1759500
248,builder_2,95486000,18831290
249,builder_5,114976000,20250570
250,builder_0,76611000,1331340
251,builder_10,108761000,639100
252,builder_10,139257000,1989540
253,builder_5,75133000,1033300
254,builder_16,182417000,1228630
255,builder_12,63329000,1418560
256,builder_16,100660000,4965540
257,builder_16,58378000,1881500
258,builder_16,192625000,5700190
259,builder_8,74161000,17956400
260,builder_19,93445000,620600
261,builder_2,121125000,5018120
262,builder_5,98710000,5871310
263,builder_5,192485000,9445030
264,builder_6,114512000,9738700
265,builder_12,119647000,617200
266,builder_2,68090000,1523520
267,builder_10,98047000,6142000
268,builder_16,91765000,1421130
269,builder_5,187254000,1963200
270,builder_10,94266000,1680330
271,builder_16,136741000,5794400
272,builder_5,172176000,522620
273,builder_10,219039000,6666000
274,builder_10,97109000,3078490
275,builder_16,108645000,629630
276,builder_19,175472000,9045140
277,builder_5,55209000,1461800
278,builder_10,135170000,3186850
279,builder_10,147955000,1307500
280,builder_16,184934000,3254800
281,builder_10,150021000,1267500
282,builder_10,96211000,9345620
283,builder_5,182332000,692340
284,builder_10,52859000,1149800
285,builder_14,80458000,2216930
286,builder_5,90753000,1756500
287,builder_8,71487000,889100
288,builder_10,139257000,1989540
289,builder_5,75133000,1033300
290,builder_16,182417000,1228630
291,builder_12,63329000,1418560
292,builder_16,100660000,4965540
293,builder_16,58378000,1881500
294,builder_16,192625000,5700190
295,builder_8,74161000,17956400
296,builder_19,93445000,620600
297,builder_2,121125000,5018120
298,builder_5,98710000,5871310
299,builder_5,192485000,9445030
300,builder_6,114512000,9738700
301,builder_12,119647000,617200
302,builder_2,68090000,1523520
303,builder_10,98047000,6142000
304,builder_16,91765000,1421130
305,builder_5,187254000,1963200
306,builder_10,94266000,1680330
307,builder_16,136741000,5794400
308,builder_5,172176000,522620
309,builder_10,219039000,6666000
310,builder_10,97109000,3078490
311,builder_16,108645000,629630
312,builder_19,175472000,9045140
313,builder_5,55209000,1461800
314,builder_10,135170000,3186850
315,builder_10,147955000,1307500
316,builder_16,184934000,3254800
317,builder_10,150021000,1267500
318,builder_10,96211000,9345620
319,builder_5,182332000,692340
320,builder_10,52859000,1149800
321,builder_14,80458000,2216930
322,builder_5,90753000,1756500
323,builder_8,71487000,889100
324,builder_10,139257000,1989540
325,builder_5,75133000,1033300
326,builder_16,182417000,1228630
327,builder_12,63329000,1418560
328,builder_16,100660000,4965540
329,builder_16,58378000,1881500
330,builder_16,192625000,5700190
331,builder_8,74161000,17956400
332,builder_19,93445000,620600
333,builder_2,121125000,5018120
334,builder_5,98710000,5871310
335,builder_5,192485000,9445030
336,builder_6,114512000,9738700
337,builder_12,119647000,617200
338,builder_2,68090000,1523520
339,builder_10,98047000,6142000
340,builder_16,91765000,1421130
341,builder_5,187254000,1963200
342,builder_10,94266000,1680330
343,builder_16,136741000,5794400
344,builder_5,172176000,522620
345,builder_10,219039000,6666000
346,builder_10,97109000,3078490
347,builder_16,108645000,629630
348,builder_19,175472000,9045140
349,builder_5,55209000,1461800
350,builder_10,135170000,3186850
351,builder_10,147955000,1307500
352,builder_16,184934000,3254800
353,builder_10,150021000,1267500
354,builder_10,96211000,9345620
355,builder_5,182332000,692340
356,builder_10,52859000,1149800
357,builder_14,80458000,2216930
358,builder_5,90753000,1756500
359,builder_8,71487000,889100
360,builder_10,139257000,1989540
361,builder_5,75133000,1033300
362,builder_16,182417000,1228630
363,builder_12,63329000,1418560
364,builder_16,100660000,4965540
365,builder_16,58378000,1881500
366,builder_16,192625000,5700190
367,builder_8,74161000,17956400
368,builder_19,93445000,620600
369,builder_2,121125000,5018120
370,builder_5,98710000,5871310
371,builder_5,192485000,9445030
372,builder_6,114512000,9738700
373,builder_12,119647000,617200
374,builder_2,68090000,1523520
375,builder_10,98047000,6142000
376,builder_16,91765000,1421130
377,builder_5,187254000,1963200
378,builder_10,94266000,1680330
379,builder_16,136741000,5794400
380,builder_5,172176000,522620
381,builder_10,219039000,6666000
382,builder_10,97109000,3078490
383,builder_16,108645000,629630
384,builder_19,175472000,9045140
385,builder_5,55209000,1461800
386,builder_10,135170000,3186850
387,builder_10,147955000,1307500
388,builder_16,184934000,3254800
389,builder_10,150021000,1267500
390,builder_10,96211000,9345620
391,builder_5,182332000,692340
392,builder_10,52859000,1149800
393,builder_14,80458000,2216930
394,builder_5,90753000,1756500
395,builder_8,71487000,889100
396,builder_10,139257000,1989540
397,builder_5,75133000,1033300
398,builder_16,182417000,1228630
399,builder_12,63329000,1418560
400,builder_16,100660000,4965540
401,builder_16,58378000,1881500
402,builder_16,192625000,5700190
403,builder_8,74161000,17956400
404,builder_19,93445000,620600
405,builder_2,121125000,5018120
406,builder_5,98710000,5871310
407,builder_5,192485000,9445030
408,builder_6,114512000,9738700
409,builder_12,119647000,617200
410,builder_2,68090000,1523520
411,builder_10,98047000,6142000
412,builder_16,91765000,1421130
413,builder_5,187254000,1963200
414,builder_10,94266000,1680330
415,builder_16,136741000,5794400
416,builder_5,172176000,522620
417,builder_10,219039000,6666000
418,builder_10,97109000,3078490
419,builder_16,108645000,629630
420,builder_19,175472000,9045140
421,builder_5,55209000,1461800
422,builder_10,135170000,3186850
423,builder_10,147955000,1307500
424,builder_16,184934000,3254800
425,builder_10,150021000,1267500
426,builder_10,96211000,9345620
427,builder_5,182332000,692340
428,builder_10,52859000,1149800
429,builder_14,80458000,2216930
430,builder_5,90753000,1756500
431,builder_8,71487000,889100
432,builder_10,139257000,1989540
433,builder_5,75133000,1033300
434,builder_16,182417000,1228630
435,builder_12,63329000,1418560
436,builder_16,100660000,4965540
437,builder_16,58378000,1881500
438,builder_16,192625000,5700190
439,builder_8,74161000,17956400
440,builder_19,93445000,620600
441,builder_2,121125000,5018120
442,builder_5,98710000,5871310
443,builder_5,192485000,9445030
444,builder_6,114512000,9738700
445,builder_12,119647000,617200
446,builder_2,68090000,1523520
447,builder_10,98047000,6142000
448,builder_16,91765000,1421130
449,builder_5,187254000,1963200
450,builder_10,94266000,1680330
451,builder_16,136741000,5794400
452,builder_5,172176000,522620
453,builder_10,219039000,6666000
454,builder_10,97109000,3078490
455,builder_16,108645000,629630
456,builder_19,175472000,9045140
457,builder_5,55209000,1461800
458,builder_10,135170000,3186850
459,builder_10,147955000,1307500
460,builder_16,184934000,3254800
461,builder_10,150021000,1267500
462,builder_10,96211000,9345620
463,builder_5,182332000,692340
464,builder_10,52859000,1149800
465,builder_14,80458000,2216930
466,builder_5,90753000,1756500
467,builder_8,71487000,889100
468,builder_10,139257000,1989540
469,builder_5,75133000,1033300
470,builder_16,182417000,1228630
471,builder_12,63329000,1418560
472,builder_16,100660000,4965540
473,builder_16,58378000,1881500
474,builder_16,192625000,5700190
475,builder_8,74161000,17956400
476,builder_19,93445000,620600
477,builder_2,121125000,5018120
478,builder_5,98710000,5871310
479,builder_5,192485000,9445030
480,builder_6,114512000,9738700
481,builder_12,119647000,617200
482,builder_2,68090000,1523520
483,builder_10,98047000,6142000
484,builder_16,91765000,1421130
485,builder_5,187254000,1963200
486,builder_10,94266000,1680330
487,builder_16,136741000,5794400
488,builder_5,172176000,522620
489,builder_10,219039000,6666000
490,builder_10,97109000,3078490
491,builder_16,108645000,629630
492,builder_19,175472000,9045140
493,builder_5,55209000,1461800
494,builder_10,135170000,3186850
495,builder_10,147955000,1307500
496,builder_16,184934000,3254800
497,builder_10,150021000,1267500
498,builder_10,96211000,9345620
499,builder_5,182332000,692340
500,builder_10,52859000,1149800
501,builder_14,80458000,2216930
502,builder_5,90753000,1756500
503,builder_8,71487000,889100
504,builder_11,131484000,1454100
505,builder_8,156910000,27966280
506,builder_13,71703000,5309300
507,builder_8,77732000,1891700
508,builder_10,131739000,4837340
509,builder_5,168730000,679700
510,builder_16,90351000,2690530
511,builder_6,97917000,4541840
512,builder_10,146688000,8627600
513,builder_10,66924000,7981730
514,builder_10,105754000,913180
515,builder_10,189070000,1712800
516,builder_11,66166000,59500
517,builder_10,93928000,973300
518,builder_5,86753000,1532000
519,builder_1,170768000,121600
520,builder_16,163835000,324070
521,builder_5,160877000,1977020
522,builder_10,79237000,1638400
523,builder_11,111533000,5590400
524,builder_16,214230000,1705700
525,builder_10,88011000,17941280
526,builder_2,44895000,308400
527,builder_10,98165000,1859280
528,builder_11,85150000,9975400
529,builder_16,193005000,1870130
530,builder_8,60648000,18459830
531,builder_10,39525000,87780
532,builder_14,101153000,199540
533,builder_10,171043000,2005500
534,builder_1,142457000,2967310
535,builder_16,75658000,106500
536,builder_5,104523000,18332900
537,builder_10,135600000,1232140
538,builder_16,62926000,457040
539,builder_19,133151000,310400
540,builder_11,131484000,1454100
541,builder_8,156910000,27966280
542,builder_13,71703000,5309300
543,builder_8,77732000,1891700
544,builder_10,131739000,4837340
545,builder_5,168730000,679700
