block_id,total_gas,total_mev_captured,block_bid,validator_type
1,12990000,398180,,normal
2,13456000,654300,,normal
3,24829000,0,,normal
4,19717000,17966800,,normal
5,13730000,190000,,normal
6,24472000,179240,,normal
7,16209000,13800,,normal
8,21130000,112200,,normal
9,20504000,23500,,normal
10,33962000,31700,,normal
11,42174000,995000,,attack
12,24708000,1804000,,normal
13,20635000,109500,,normal
14,23458000,311300,,normal
15,37306000,8730100,,attack
16,19562000,0,,normal
17,24619000,48580,,attack
18,24222000,0,,normal
19,23150000,91100,,normal
20,25459000,402800,,normal
21,38417000,138900,,attack
22,27154000,8779000,,attack
23,32869000,450700,,normal
24,23015000,1042100,,normal
25,23347000,16340,,normal
26,65232000,283180,,attack
27,19377000,241100,,normal
28,35309000,142900,,normal
29,23667000,1100000,,normal
30,24682000,1112100,,normal
31,33067000,65440,,normal
32,30381000,138360,,attack
33,23980000,382900,,normal
34,22118000,4571240,,normal
35,23281000,116500,,normal
36,18222000,402900,,normal
37,31291000,528100,,normal
38,24846000,166100,,normal
39,33967000,712000,,attack
40,27016000,0,,normal
41,23795000,794000,,normal
42,25462000,974600,,normal
43,36732000,402900,,normal
44,14968000,31700,,normal
45,18189000,678700,,normal
46,9131000,467900,,normal
47,21928000,108300,,normal
48,32530000,318520,,normal
49,13337000,1133100,,normal
50,33861000,83000,,normal
51,16085000,1054000,,normal
52,24250000,124780,,normal
53,29567000,498000,,normal
54,24369000,11200,,normal
55,31957000,425000,,normal
56,26529000,149040,,normal
57,29745000,171600,,normal
58,28103000,90700,,normal
59,31268000,212700,,normal
60,39176000,368400,,normal
61,13003000,1256500,,normal
62,20333000,4604700,,normal
63,27031000,510000,,normal
64,28550000,247900,,normal
65,31038000,2633800,,attack
66,44883000,232400,,attack
67,27798000,190130,,normal
68,24588000,397400,,normal
69,36680000,7552000,,normal
70,27808000,322000,,normal
71,31860000,5080000,,normal
72,50642000,15100,,normal
73,31660000,0,,normal
74,26655000,43100,,normal
75,32801000,419800,,normal
76,38153000,65480,,normal
77,28794000,187800,,normal
78,33850000,116000,,normal
79,31379000,0,,normal
80,28588000,471000,,normal
81,14564000,381380,,normal
82,34633000,381800,,normal
83,26118000,0,,normal
84,28087000,807000,,attack
85,20370000,24600,,normal
86,50690000,61900,,normal
87,27592000,78000,,normal
88,27043000,32800,,attack
89,33301000,94580,,attack
90,32259000,0,,normal
91,10744000,580600,,normal
92,16259000,17842000,,normal
93,23750000,0,,attack
94,19090000,1100000,,normal
95,17195000,87300,,normal
96,28775000,68500,,normal
97,25132000,322000,,normal
98,17114000,246100,,normal
99,45693000,22660,,attack
100,59289000,5180,,normal
