block_num,builder_id,total_gas_fee,total_mev
839,builder_2,60753000,190400
840,builder_16,176886000,9119200
841,builder_16,84162000,682100
842,builder_8,42236000,1142230
843,builder_0,52376000,19441990
844,builder_17,146345000,211400
845,builder_3,117592000,846330
846,builder_0,140905000,444110
847,builder_14,66816000,18734600
848,builder_14,85406000,546200
849,builder_17,129434000,241800
850,builder_14,105506000,619700
851,builder_3,110761000,52140
852,builder_17,70865000,1497800
853,builder_7,45786000,2064800
854,builder_4,163912000,903200
855,builder_14,95796000,10019800
856,builder_17,102714000,2154000
857,builder_7,79719000,561420
858,builder_9,98323000,8982400
859,builder_17,83323000,576630
860,builder_3,109473000,2610820
861,builder_10,170582000,4967390
862,builder_17,165176000,1547580
863,builder_16,94313000,838130
864,builder_4,39639000,737500
865,builder_14,115927000,1214780
866,builder_3,122817000,5989700
867,builder_14,186015000,8835230
868,builder_19,98396000,12333830
869,builder_16,126875000,528320
870,builder_0,47380000,2510400
871,builder_0,142091000,19394190
872,builder_8,127424000,8214020
873,builder_17,75592000,2267040
874,builder_2,133870000,25225920
875,builder_2,60753000,190400
876,builder_16,176886000,9119200
877,builder_16,84162000,682100
878,builder_8,42236000,1142230
879,builder_0,52376000,19441990
880,builder_17,146345000,211400
881,builder_3,117592000,846330
882,builder_0,140905000,444110
883,builder_14,66816000,18734600
884,builder_14,85406000,546200
885,builder_17,129434000,241800
886,builder_14,105506000,619700
887,builder_3,110761000,52140
888,builder_17,70865000,1497800
889,builder_7,45786000,2064800
890,builder_4,163912000,903200
891,builder_14,95796000,10019800
892,builder_17,102714000,2154000
893,builder_7,79719000,561420
894,builder_9,98323000,8982400
895,builder_17,83323000,576630
896,builder_3,109473000,2610820
897,builder_10,170582000,4967390
898,builder_17,165176000,1547580
899,builder_16,94313000,838130
900,builder_4,39639000,737500
901,builder_14,115927000,1214780
902,builder_3,122817000,5989700
903,builder_14,186015000,8835230
904,builder_19,98396000,12333830
905,builder_16,126875000,528320
906,builder_0,47380000,2510400
907,builder_0,142091000,19394190
908,builder_8,127424000,8214020
909,builder_17,75592000,2267040
910,builder_2,133870000,25225920
911,builder_2,60753000,190400
912,builder_16,176886000,9119200
913,builder_16,84162000,682100
914,builder_8,42236000,1142230
915,builder_0,52376000,19441990
916,builder_17,146345000,211400
917,builder_3,117592000,846330
918,builder_0,140905000,444110
919,builder_14,66816000,18734600
920,builder_14,85406000,546200
921,builder_17,129434000,241800
922,builder_14,105506000,619700
923,builder_3,110761000,52140
924,builder_17,70865000,1497800
925,builder_7,45786000,2064800
926,builder_4,163912000,903200
927,builder_14,95796000,10019800
928,builder_17,102714000,2154000
929,builder_7,79719000,561420
930,builder_9,98323000,8982400
931,builder_17,83323000,576630
932,builder_3,109473000,2610820
933,builder_10,170582000,4967390
934,builder_17,165176000,1547580
935,builder_16,94313000,838130
936,builder_4,39639000,737500
937,builder_14,115927000,1214780
938,builder_3,122817000,5989700
939,builder_14,186015000,8835230
940,builder_19,98396000,12333830
941,builder_16,126875000,528320
942,builder_0,47380000,2510400
943,builder_0,142091000,19394190
944,builder_8,127424000,8214020
945,builder_17,75592000,2267040
946,builder_2,133870000,25225920
947,builder_2,60753000,190400
948,builder_16,176886000,9119200
949,builder_16,84162000,682100
950,builder_8,42236000,1142230
951,builder_0,52376000,19441990
952,builder_17,146345000,211400
953,builder_3,117592000,846330
954,builder_0,140905000,444110
955,builder_14,66816000,18734600
956,builder_14,85406000,546200
957,builder_17,129434000,241800
958,builder_14,105506000,619700
959,builder_3,110761000,52140
960,builder_17,70865000,1497800
961,builder_7,45786000,2064800
962,builder_4,163912000,903200
963,builder_14,95796000,10019800
