block_id,total_gas,total_mev_captured,validator_type,validator_id
1,964832000,75760470,normal,169
2,1116598000,47955800,attack,161
3,1221160000,61181470,attack,155
4,1388200000,44779400,normal,179
5,1038995000,150692400,normal,180
6,1240900000,22689400,attack,159
7,979080000,58094800,attack,156
8,1230212000,78376940,normal,189
9,1262000000,812030,attack,158
10,1154640000,62656230,normal,194
11,1095420000,52010700,normal,196
12,1056750000,36330220,normal,170
13,1170390000,87817220,normal,171
14,1043068000,115361900,normal,169
15,1357384000,43824100,normal,184
16,1142018000,82000090,normal,194
17,1077740000,88794300,attack,153
18,1005467000,140690900,normal,195
19,964270000,22876320,normal,177
20,1078268000,159186130,normal,171
21,1155960000,42924730,attack,154
22,1120760000,32346720,attack,160
23,1326500000,74877100,normal,170
24,1133790000,37431700,normal,190
25,1075250000,50234240,attack,165
26,945690000,44777180,normal,185
27,1182273000,121371330,normal,182
28,1105064000,101762800,normal,198
29,1176565000,50810240,normal,177
30,1224870000,35183080,normal,166
31,1254589000,44024630,attack,163
32,1121611000,94903140,normal,184
33,1036600000,24530200,attack,162
34,1094977000,129878030,normal,175
35,933390000,66232700,normal,191
36,1016370000,10288200,normal,170
37,1374170000,27060240,normal,196
38,1179100000,37046590,attack,160
39,1218704000,69186370,normal,197
40,1372910000,26697920,normal,179
41,1080920000,56925500,normal,189
42,1379290000,72658240,normal,176
43,992200000,62475700,attack,152
44,1043000000,40225100,attack,159
45,1496220000,18398300,normal,172
46,1214063000,108670800,normal,176
47,1281760000,67559900,normal,192
48,1254720000,40429000,attack,162
49,1305340000,43290440,normal,185
50,1266810000,11227500,normal,166
