block_num,builder_id,total_gas_fee,total_mev,total_created_txs,total_attack_txs,included_txs
0,builder_6,5849999,3130,56,44,8
1,builder_6,5989999,3130,53,33,10
2,builder_6,276189999,18283380,41,28,75
3,builder_6,349870000,18306080,57,48,100
4,builder_6,97392998,86000,49,38,100
5,builder_6,80502009,19700,39,24,100
6,builder_6,12807005,5180,51,40,10
7,builder_6,57324014,1197480,59,36,97
8,builder_6,240313001,1617030,42,27,100
9,builder_6,357683994,1048630,53,35,100
10,builder_6,223599995,882000,42,34,83
11,builder_6,490292002,1177900,58,42,95
12,builder_6,600319008,1007400,52,40,90
13,builder_6,442140004,1839600,52,43,100
14,builder_6,338430009,112640,54,41,100
15,builder_6,38100005,383000,59,44,34
16,builder_6,42163005,383000,54,40,37
17,builder_7,5900000,0,49,36,3
18,builder_6,200400002,1046020,63,47,100
19,builder_6,256800042,1080720,62,47,100
20,builder_6,5849999,3130,56,44,8
21,builder_6,5989999,3130,53,33,10
22,builder_6,276189999,18283380,41,28,75
23,builder_6,349870000,18306080,57,48,100
24,builder_6,97392998,86000,49,38,100
25,builder_6,80502009,19700,39,24,100
26,builder_6,12807005,5180,51,40,10
27,builder_6,57324014,1197480,59,36,97
28,builder_6,240313001,1617030,42,27,100
29,builder_6,357683994,1048630,53,35,100
30,builder_6,223599995,882000,42,34,83
31,builder_6,490292002,1177900,58,42,95
32,builder_6,600319008,1007400,52,40,90
33,builder_6,442140004,1839600,52,43,100
34,builder_6,338430009,112640,54,41,100
35,builder_6,38100005,383000,59,44,34
36,builder_6,42163005,383000,54,40,37
37,builder_7,5900000,0,49,36,3
38,builder_6,200400002,1046020,63,47,100
39,builder_6,256800042,1080720,62,47,100
40,builder_6,5849999,3130,56,44,8
41,builder_6,5989999,3130,53,33,10
42,builder_6,276189999,18283380,41,28,75
43,builder_6,349870000,18306080,57,48,100
44,builder_6,97392998,86000,49,38,100
45,builder_6,80502009,19700,39,24,100
46,builder_6,12807005,5180,51,40,10
47,builder_6,57324014,1197480,59,36,97
48,builder_6,240313001,1617030,42,27,100
49,builder_6,357683994,1048630,53,35,100
50,builder_6,223599995,882000,42,34,83
51,builder_6,490292002,1177900,58,42,95
52,builder_6,600319008,1007400,52,40,90
53,builder_6,442140004,1839600,52,43,100
54,builder_6,338430009,112640,54,41,100
55,builder_6,38100005,383000,59,44,34
56,builder_6,42163005,383000,54,40,37
57,builder_7,5900000,0,49,36,3
58,builder_6,200400002,1046020,63,47,100
59,builder_6,256800042,1080720,62,47,100
60,builder_6,5849999,3130,56,44,8
61,builder_6,5989999,3130,53,33,10
62,builder_6,276189999,18283380,41,28,75
63,builder_6,349870000,18306080,57,48,100
64,builder_6,97392998,86000,49,38,100
65,builder_6,80502009,19700,39,24,100
66,builder_6,12807005,5180,51,40,10
