block_num,builder_id,total_gas_fee,total_mev,included_txs
0,builder_6,5919998,3130,
1,builder_6,266699994,390210,
2,builder_6,210849990,17942900,
3,builder_6,207256991,1268530,
4,builder_6,291116996,1803000,
5,builder_6,147260003,69000,
6,builder_6,369261997,444000,
7,builder_6,677140015,8419000,
8,builder_6,127604008,1665620,
9,builder_6,106373008,34700,
10,builder_6,138428014,135500,
11,builder_6,84946997,1113900,
12,builder_6,5790001,121000,
13,builder_6,85268993,741900,
14,builder_6,193920000,9908600,
15,builder_6,169940003,9229600,
16,builder_6,119283006,460100,
17,builder_6,126365993,91100,
18,builder_7,3830000,0,
19,builder_6,257839994,7247300,
20,builder_6,5919998,3130,
21,builder_6,266699994,390210,
22,builder_6,210849990,17942900,
23,builder_6,207256991,1268530,
24,builder_6,291116996,1803000,
25,builder_6,147260003,69000,
26,builder_6,369261997,444000,
27,builder_6,677140015,8419000,
28,builder_6,127604008,1665620,
29,builder_6,106373008,34700,
30,builder_6,138428014,135500,
31,builder_6,84946997,1113900,
32,builder_6,5790001,121000,
33,builder_6,85268993,741900,
34,builder_6,193920000,9908600,
35,builder_6,169940003,9229600,
36,builder_6,119283006,460100,
37,builder_6,126365993,91100,
38,builder_7,3830000,0,
39,builder_6,257839994,7247300,
40,builder_6,5919998,3130,
41,builder_6,266699994,390210,
42,builder_6,210849990,17942900,
43,builder_6,207256991,1268530,
44,builder_6,291116996,1803000,
45,builder_6,147260003,69000,
46,builder_6,369261997,444000,
47,builder_6,677140015,8419000,
48,builder_6,127604008,1665620,
49,builder_6,106373008,34700,
50,builder_6,138428014,135500,
51,builder_6,84946997,1113900,
52,builder_6,5790001,121000,
53,builder_6,85268993,741900,
54,builder_6,193920000,9908600,
55,builder_6,169940003,9229600,
56,builder_6,119283006,460100,
57,builder_6,126365993,91100,
58,builder_7,3830000,0,
59,builder_6,257839994,7247300,
60,builder_6,5919998,3130,
61,builder_6,266699994,390210,
62,builder_6,210849990,17942900,
63,builder_6,207256991,1268530,
64,builder_6,291116996,1803000,
65,builder_6,147260003,69000,
66,builder_6,369261997,444000,
67,builder_6,677140015,8419000,
68,builder_6,127604008,1665620,
69,builder_6,106373008,34700,
70,builder_6,138428014,135500,
71,builder_6,84946997,1113900,
72,builder_6,5790001,121000,
73,builder_6,85268993,741900,
74,builder_6,193920000,9908600,
75,builder_6,169940003,9229600,
76,builder_6,119283006,460100,
77,builder_6,126365993,91100,
78,builder_7,3830000,0,
79,builder_6,257839994,7247300,
80,builder_6,5919998,3130,
81,builder_6,266699994,390210,
82,builder_6,210849990,17942900,
83,builder_6,207256991,1268530,
84,builder_6,291116996,1803000,
85,builder_6,147260003,69000,
86,builder_6,369261997,444000,
87,builder_6,677140015,8419000,
88,builder_6,127604008,1665620,
89,builder_6,106373008,34700,
90,builder_6,138428014,135500,
91,builder_6,84946997,1113900,
92,builder_6,5790001,121000,
93,builder_6,85268993,741900,
94,builder_6,193920000,9908600,
95,builder_6,169940003,9229600,
96,builder_6,119283006,460100,
97,builder_6,126365993,91100,
98,builder_7,3830000,0,
99,builder_6,257839994,7247300,
100,builder_6,5919998,3130,
101,builder_6,266699994,390210,
102,builder_6,210849990,17942900,
103,builder_6,207256991,1268530,
104,builder_6,291116996,1803000,
105,builder_6,147260003,69000,
106,builder_6,369261997,444000,
107,builder_6,677140015,8419000,
108,builder_6,127604008,1665620,
109,builder_6,106373008,34700,
110,builder_6,138428014,135500,
111,builder_6,84946997,1113900,
112,builder_6,5790001,121000,
113,builder_6,85268993,741900,
114,builder_6,193920000,9908600,
115,builder_6,169940003,9229600,
116,builder_6,119283006,460100,
117,builder_6,126365993,91100,
118,builder_7,3830000,0,
119,builder_6,257839994,7247300,
120,builder_6,5919998,3130,
121,builder_6,266699994,390210,
122,builder_6,210849990,17942900,
123,builder_6,207256991,1268530,
124,builder_6,291116996,1803000,
125,builder_6,147260003,69000,
126,builder_6,369261997,444000,
127,builder_6,677140015,8419000,
128,builder_6,127604008,1665620,
129,builder_6,106373008,34700,
130,builder_6,138428014,135500,
131,builder_6,84946997,1113900,
132,builder_6,5790001,121000,
133,builder_6,85268993,741900,
134,builder_6,193920000,9908600,
135,builder_6,169940003,9229600,
136,builder_6,119283006,460100,
137,builder_6,126365993,91100,
138,builder_7,3830000,0,
139,builder_6,257839994,7247300,
140,builder_6,5919998,3130,
141,builder_6,266699994,390210,
142,builder_6,210849990,17942900,
143,builder_6,207256991,1268530,
144,builder_6,291116996,1803000,
145,builder_6,147260003,69000,
146,builder_6,369261997,444000,
147,builder_6,677140015,8419000,
148,builder_6,127604008,1665620,
149,builder_6,106373008,34700,
150,builder_6,138428014,135500,
151,builder_6,84946997,1113900,
152,builder_6,5790001,121000,
153,builder_6,85268993,741900,
154,builder_6,193920000,9908600,
155,builder_6,169940003,9229600,
156,builder_6,119283006,460100,
157,builder_6,126365993,91100,
158,builder_7,3830000,0,
159,builder_6,257839994,7247300,
160,builder_6,5919998,3130,
161,builder_6,266699994,390210,
162,builder_6,210849990,17942900,
163,builder_6,207256991,1268530,
164,builder_6,291116996,1803000,
165,builder_6,147260003,69000,
166,builder_6,369261997,444000,
167,builder_6,677140015,8419000,
168,builder_6,127604008,1665620,
169,builder_6,106373008,34700,
170,builder_6,138428014,135500,
171,builder_6,84946997,1113900,
172,builder_6,5790001,121000,
173,builder_6,85268993,741900,
174,builder_6,193920000,9908600,
175,builder_6,169940003,9229600,
176,builder_6,119283006,460100,
177,builder_6,126365993,91100,
178,builder_7,3830000,0,
179,builder_6,257839994,7247300,
180,builder_6,5919998,3130,
181,builder_6,266699994,390210,
182,builder_6,210849990,17942900,
183,builder_6,207256991,1268530,
184,builder_6,291116996,1803000,
185,builder_6,147260003,69000,
186,builder_6,369261997,444000,
187,builder_6,677140015,8419000,
188,builder_6,127604008,1665620,
189,builder_6,106373008,34700,
190,builder_6,138428014,135500,
191,builder_6,84946997,1113900,
192,builder_6,5790001,121000,
193,builder_6,85268993,741900,
194,builder_6,193920000,9908600,
195,builder_6,169940003,9229600,
196,builder_6,119283006,460100,
197,builder_6,126365993,91100,
198,builder_7,3830000,0,
199,builder_6,257839994,7247300,
200,builder_6,5919998,3130,
201,builder_6,266699994,390210,
202,builder_6,210849990,17942900,
203,builder_6,207256991,1268530,
204,builder_6,291116996,1803000,
205,builder_6,147260003,69000,
206,builder_6,369261997,444000,
207,builder_6,677140015,8419000,
208,builder_6,127604008,1665620,
209,builder_6,106373008,34700,
210,builder_6,138428014,135500,
211,builder_6,84946997,1113900,
212,builder_6,5790001,121000,
213,builder_6,85268993,741900,
214,builder_6,193920000,9908600,
215,builder_6,169940003,9229600,
216,builder_6,119283006,460100,
217,builder_6,126365993,91100,
218,builder_7,3830000,0,
219,builder_6,257839994,7247300,
220,builder_6,5919998,3130,
221,builder_6,266699994,390210,
222,builder_6,210849990,17942900,
223,builder_6,207256991,1268530,
224,builder_6,291116996,1803000,
225,builder_6,147260003,69000,
226,builder_6,369261997,444000,
227,builder_6,677140015,8419000,
228,builder_6,127604008,1665620,
229,builder_6,106373008,34700,
230,builder_6,138428014,135500,
231,builder_6,84946997,1113900,
232,builder_6,5790001,121000,
233,builder_6,85268993,741900,
234,builder_6,193920000,9908600,
235,builder_6,169940003,9229600,
236,builder_6,119283006,460100,
237,builder_6,126365993,91100,
238,builder_7,3830000,0,
239,builder_6,257839994,7247300,
240,builder_6,5919998,3130,
241,builder_6,266699994,390210,
242,builder_6,210849990,17942900,
243,builder_6,207256991,1268530,
244,builder_6,291116996,1803000,
245,builder_6,147260003,69000,
246,builder_6,369261997,444000,
247,builder_6,677140015,8419000,
248,builder_6,127604008,1665620,
249,builder_6,106373008,34700,
250,builder_6,138428014,135500,
251,builder_6,84946997,1113900,
252,builder_6,5790001,121000,
253,builder_6,85268993,741900,
254,builder_6,193920000,9908600,
255,builder_6,169940003,9229600,
256,builder_6,119283006,460100,
257,builder_6,126365993,91100,
258,builder_7,3830000,0,
259,builder_6,257839994,7247300,
260,builder_7,5939999,56200,
261,builder_6,49188998,1003400,
262,builder_6,120817005,2183000,
263,builder_6,50014002,603480,
264,builder_6,82925992,7291700,
265,builder_6,98424000,7251830,
266,builder_6,59998003,5180,
267,builder_6,110172994,81000,
268,builder_6,57785997,101200,
269,builder_6,42031994,604540,
270,builder_6,23362983,485930,
271,builder_6,108900984,2096230,
272,builder_6,107051995,0,
273,builder_6,164974003,181000,
274,builder_6,58307999,285000,
275,builder_6,366824007,2412400,
276,builder_6,120638999,1498000,
277,builder_6,31278997,1129000,
278,builder_6,84571019,427600,
279,builder_6,82968994,1234030,
280,builder_7,5939999,56200,
281,builder_6,49188998,1003400,
282,builder_6,120817005,2183000,
283,builder_6,50014002,603480,
284,builder_6,82925992,7291700,
285,builder_6,98424000,7251830,
286,builder_6,59998003,5180,
287,builder_6,110172994,81000,
288,builder_6,57785997,101200,
289,builder_6,42031994,604540,
290,builder_6,23362983,485930,
291,builder_6,108900984,2096230,
292,builder_6,107051995,0,
293,builder_6,164974003,181000,
294,builder_6,58307999,285000,
295,builder_6,366824007,2412400,
296,builder_6,120638999,1498000,
