block_num,builder_id,total_gas_fee,total_mev,total_created_txs,total_attack_txs,included_txs
0,builder_6,5849999,3130,57,36,8
1,builder_3,87396001,18060240,43,22,38
2,builder_6,303780004,18454140,52,23,99
3,builder_6,59578994,368730,56,31,50
4,builder_6,82472008,1163700,44,26,47
5,builder_6,171465002,2420700,41,17,99
6,builder_6,460000,0,37,14,1
7,builder_6,167437992,1214380,56,34,100
8,builder_6,111339996,280060,47,24,76
9,builder_6,80226000,369900,54,29,48
10,builder_6,100000,0,49,21,1
11,builder_6,205213010,1567700,54,26,88
12,builder_6,151459005,883800,63,35,56
13,builder_6,410600019,1687900,47,32,100
14,builder_6,8033001,164000,43,20,8
15,builder_6,230460011,910700,63,30,100
16,builder_6,160344998,875440,54,27,60
17,builder_6,218289997,1490000,48,29,100
18,builder_6,152514002,1297300,56,36,59
19,builder_6,247018997,1069300,43,21,96
20,builder_6,5849999,3130,57,36,8
21,builder_3,87396001,18060240,43,22,38
22,builder_6,303780004,18454140,52,23,99
23,builder_6,59578994,368730,56,31,50
24,builder_6,82472008,1163700,44,26,47
25,builder_6,171465002,2420700,41,17,99
26,builder_6,460000,0,37,14,1
27,builder_6,167437992,1214380,56,34,100
28,builder_6,111339996,280060,47,24,76
29,builder_6,80226000,369900,54,29,48
30,builder_6,100000,0,49,21,1
31,builder_6,205213010,1567700,54,26,88
32,builder_6,151459005,883800,63,35,56
33,builder_6,410600019,1687900,47,32,100
34,builder_6,8033001,164000,43,20,8
35,builder_6,230460011,910700,63,30,100
36,builder_6,160344998,875440,54,27,60
37,builder_6,218289997,1490000,48,29,100
38,builder_6,152514002,1297300,56,36,59
39,builder_6,247018997,1069300,43,21,96
40,builder_6,5849999,3130,57,36,8
41,builder_3,87396001,18060240,43,22,38
42,builder_6,303780004,18454140,52,23,99
43,builder_6,59578994,368730,56,31,50
44,builder_6,82472008,1163700,44,26,47
45,builder_6,171465002,2420700,41,17,99
46,builder_6,460000,0,37,14,1
47,builder_6,167437992,1214380,56,34,100
48,builder_6,111339996,280060,47,24,76
49,builder_6,80226000,369900,54,29,48
50,builder_6,100000,0,49,21,1
51,builder_6,205213010,1567700,54,26,88
52,builder_6,151459005,883800,63,35,56
53,builder_6,410600019,1687900,47,32,100
54,builder_6,8033001,164000,43,20,8
55,builder_6,230460011,910700,63,30,100
56,builder_6,160344998,875440,54,27,60
57,builder_6,218289997,1490000,48,29,100
58,builder_6,152514002,1297300,56,36,59
59,builder_6,247018997,1069300,43,21,96
60,builder_6,5849999,3130,57,36,8
61,builder_3,87396001,18060240,43,22,38
62,builder_6,303780004,18454140,52,23,99
63,builder_6,59578994,368730,56,31,50
64,builder_6,82472008,1163700,44,26,47
65,builder_6,171465002,2420700,41,17,99
66,builder_6,460000,0,37,14,1
67,builder_6,167437992,1214380,56,34,100
68,builder_6,111339996,280060,47,24,76
69,builder_6,80226000,369900,54,29,48
70,builder_6,100000,0,49,21,1
71,builder_6,205213010,1567700,54,26,88
72,builder_6,151459005,883800,63,35,56
73,builder_6,410600019,1687900,47,32,100
74,builder_6,8033001,164000,43,20,8
75,builder_6,230460011,910700,63,30,100
76,builder_6,160344998,875440,54,27,60
77,builder_6,218289997,1490000,48,29,100
78,builder_6,152514002,1297300,56,36,59
79,builder_6,247018997,1069300,43,21,96
80,builder_6,5849999,3130,57,36,8
81,builder_3,87396001,18060240,43,22,38
82,builder_6,303780004,18454140,52,23,99
83,builder_6,59578994,368730,56,31,50
84,builder_6,82472008,1163700,44,26,47
85,builder_6,171465002,2420700,41,17,99
86,builder_6,460000,0,37,14,1
87,builder_6,167437992,1214380,56,34,100
88,builder_6,111339996,280060,47,24,76
89,builder_6,80226000,369900,54,29,48
90,builder_6,100000,0,49,21,1
91,builder_6,205213010,1567700,54,26,88
92,builder_6,151459005,883800,63,35,56
93,builder_6,410600019,1687900,47,32,100
94,builder_6,8033001,164000,43,20,8
95,builder_6,230460011,910700,63,30,100
96,builder_6,160344998,875440,54,27,60
97,builder_6,218289997,1490000,48,29,100
98,builder_6,152514002,1297300,56,36,59
99,builder_6,247018997,1069300,43,21,96
100,builder_6,5849999,3130,57,36,8
101,builder_3,87396001,18060240,43,22,38
102,builder_6,303780004,18454140,52,23,99
103,builder_6,59578994,368730,56,31,50
104,builder_6,82472008,1163700,44,26,47
105,builder_6,171465002,2420700,41,17,99
106,builder_6,460000,0,37,14,1
107,builder_6,167437992,1214380,56,34,100
108,builder_6,111339996,280060,47,24,76
109,builder_6,80226000,369900,54,29,48
110,builder_6,100000,0,49,21,1
111,builder_6,205213010,1567700,54,26,88
112,builder_6,151459005,883800,63,35,56
113,builder_6,410600019,1687900,47,32,100
114,builder_6,8033001,164000,43,20,8
115,builder_6,230460011,910700,63,30,100
116,builder_6,160344998,875440,54,27,60
117,builder_6,218289997,1490000,48,29,100
118,builder_6,152514002,1297300,56,36,59
119,builder_6,247018997,1069300,43,21,96
120,builder_6,5849999,3130,57,36,8
121,builder_3,87396001,18060240,43,22,38
122,builder_6,303780004,18454140,52,23,99
123,builder_6,59578994,368730,56,31,50
124,builder_6,82472008,1163700,44,26,47
125,builder_6,171465002,2420700,41,17,99
126,builder_6,460000,0,37,14,1
127,builder_6,167437992,1214380,56,34,100
128,builder_6,111339996,280060,47,24,76
129,builder_6,80226000,369900,54,29,48
130,builder_6,100000,0,49,21,1
131,builder_6,205213010,1567700,54,26,88
132,builder_6,151459005,883800,63,35,56
133,builder_6,410600019,1687900,47,32,100
134,builder_6,8033001,164000,43,20,8
135,builder_6,230460011,910700,63,30,100
136,builder_6,160344998,875440,54,27,60
137,builder_6,218289997,1490000,48,29,100
