block_num,builder_id,total_gas_fee,total_mev,total_created_txs,total_attack_txs,included_txs
0,builder_6,5849999,3130,57,37,8
1,builder_3,87396001,18060240,39,27,38
2,builder_7,80523000,8310,54,25,28
3,builder_6,350000,0,57,33,1
4,builder_6,364550008,20455010,47,32,100
5,builder_6,1080499996,18951760,63,40,100
6,builder_6,913669980,1293210,57,38,100
7,builder_6,183312995,47000,47,26,59
8,builder_6,272623998,445600,54,30,100
9,builder_6,129137003,998700,42,23,45
10,builder_6,156473009,461400,58,27,61
11,builder_6,353370013,1647100,64,42,100
12,builder_6,99738002,108000,57,30,49
13,builder_6,36279003,380900,45,35,42
14,builder_6,200030004,1536200,55,36,100
15,builder_6,58128989,164700,57,33,59
16,builder_6,190359984,18886600,56,30,100
17,builder_6,50731003,8536500,45,28,65
18,builder_6,87383992,1298780,55,29,60
19,builder_6,58558003,573810,63,41,74
20,builder_6,5849999,3130,57,37,8
21,builder_3,87396001,18060240,39,27,38
22,builder_7,80523000,8310,54,25,28
23,builder_6,350000,0,57,33,1
24,builder_6,364550008,20455010,47,32,100
25,builder_6,1080499996,18951760,63,40,100
26,builder_6,913669980,1293210,57,38,100
27,builder_6,183312995,47000,47,26,59
28,builder_6,272623998,445600,54,30,100
29,builder_6,129137003,998700,42,23,45
30,builder_6,156473009,461400,58,27,61
31,builder_6,353370013,1647100,64,42,100
32,builder_6,99738002,108000,57,30,49
33,builder_6,36279003,380900,45,35,42
34,builder_6,200030004,1536200,55,36,100
35,builder_6,58128989,164700,57,33,59
36,builder_6,190359984,18886600,56,30,100
37,builder_6,50731003,8536500,45,28,65
38,builder_6,87383992,1298780,55,29,60
39,builder_6,58558003,573810,63,41,74
40,builder_6,5849999,3130,57,37,8
41,builder_3,87396001,18060240,39,27,38
42,builder_7,80523000,8310,54,25,28
43,builder_6,350000,0,57,33,1
44,builder_6,364550008,20455010,47,32,100
45,builder_6,1080499996,18951760,63,40,100
46,builder_6,913669980,1293210,57,38,100
47,builder_6,183312995,47000,47,26,59
48,builder_6,272623998,445600,54,30,100
49,builder_6,129137003,998700,42,23,45
50,builder_6,156473009,461400,58,27,61
51,builder_6,353370013,1647100,64,42,100
52,builder_6,99738002,108000,57,30,49
53,builder_6,36279003,380900,45,35,42
54,builder_6,200030004,1536200,55,36,100
55,builder_6,58128989,164700,57,33,59
56,builder_6,190359984,18886600,56,30,100
57,builder_6,50731003,8536500,45,28,65
58,builder_6,87383992,1298780,55,29,60
59,builder_6,58558003,573810,63,41,74
60,builder_6,5849999,3130,57,37,8
61,builder_3,87396001,18060240,39,27,38
62,builder_7,80523000,8310,54,25,28
63,builder_6,350000,0,57,33,1
64,builder_6,364550008,20455010,47,32,100
65,builder_6,1080499996,18951760,63,40,100
66,builder_6,913669980,1293210,57,38,100
67,builder_6,183312995,47000,47,26,59
68,builder_6,272623998,445600,54,30,100
69,builder_6,129137003,998700,42,23,45
70,builder_6,156473009,461400,58,27,61
71,builder_6,353370013,1647100,64,42,100
72,builder_6,99738002,108000,57,30,49
73,builder_6,36279003,380900,45,35,42
74,builder_6,200030004,1536200,55,36,100
75,builder_6,58128989,164700,57,33,59
76,builder_6,190359984,18886600,56,30,100
77,builder_6,50731003,8536500,45,28,65
78,builder_6,87383992,1298780,55,29,60
79,builder_6,58558003,573810,63,41,74
80,builder_6,5849999,3130,57,37,8
81,builder_3,87396001,18060240,39,27,38
82,builder_7,80523000,8310,54,25,28
83,builder_6,350000,0,57,33,1
84,builder_6,364550008,20455010,47,32,100
85,builder_6,1080499996,18951760,63,40,100
86,builder_6,913669980,1293210,57,38,100
87,builder_6,183312995,47000,47,26,59
88,builder_6,272623998,445600,54,30,100
89,builder_6,129137003,998700,42,23,45
90,builder_6,156473009,461400,58,27,61
91,builder_6,353370013,1647100,64,42,100
92,builder_6,99738002,108000,57,30,49
93,builder_6,36279003,380900,45,35,42
94,builder_6,200030004,1536200,55,36,100
95,builder_6,58128989,164700,57,33,59
96,builder_6,190359984,18886600,56,30,100
97,builder_6,50731003,8536500,45,28,65
98,builder_6,87383992,1298780,55,29,60
99,builder_6,58558003,573810,63,41,74
100,builder_6,5849999,3130,57,37,8
101,builder_3,87396001,18060240,39,27,38
102,builder_7,80523000,8310,54,25,28
103,builder_6,350000,0,57,33,1
104,builder_6,364550008,20455010,47,32,100
105,builder_6,1080499996,18951760,63,40,100
106,builder_6,913669980,1293210,57,38,100
107,builder_6,183312995,47000,47,26,59
108,builder_6,272623998,445600,54,30,100
109,builder_6,129137003,998700,42,23,45
110,builder_6,156473009,461400,58,27,61
111,builder_6,353370013,1647100,64,42,100
112,builder_6,99738002,108000,57,30,49
113,builder_6,36279003,380900,45,35,42
114,builder_6,200030004,1536200,55,36,100
115,builder_6,58128989,164700,57,33,59
116,builder_6,190359984,18886600,56,30,100
117,builder_6,50731003,8536500,45,28,65
118,builder_6,87383992,1298780,55,29,60
119,builder_6,58558003,573810,63,41,74
120,builder_6,5849999,3130,57,37,8
121,builder_3,87396001,18060240,39,27,38
122,builder_7,80523000,8310,54,25,28
123,builder_6,350000,0,57,33,1
124,builder_6,364550008,20455010,47,32,100
125,builder_6,1080499996,18951760,63,40,100
126,builder_6,913669980,1293210,57,38,100
127,builder_6,183312995,47000,47,26,59
128,builder_6,272623998,445600,54,30,100
129,builder_6,129137003,998700,42,23,45
130,builder_6,156473009,461400,58,27,61
131,builder_6,353370013,1647100,64,42,100
132,builder_6,99738002,108000,57,30,49
133,builder_6,36279003,380900,45,35,42
134,builder_6,200030004,1536200,55,36,100
135,builder_6,58128989,164700,57,33,59
136,builder_6,190359984,18886600,56,30,100
137,builder_6,50731003,8536500,45,28,65
138,builder_6,87383992,1298780,55,29,60
139,builder_6,58558003,573810,63,41,74
140,builder_6,5849999,3130,57,37,8
141,builder_3,87396001,18060240,39,27,38
142,builder_7,80523000,8310,54,25,28
143,builder_6,350000,0,57,33,1
144,builder_6,364550008,20455010,47,32,100
145,builder_6,1080499996,18951760,63,40,100
146,builder_6,913669980,1293210,57,38,100
147,builder_6,183312995,47000,47,26,59
148,builder_6,272623998,445600,54,30,100
149,builder_6,129137003,998700,42,23,45
150,builder_6,156473009,461400,58,27,61
151,builder_6,353370013,1647100,64,42,100
152,builder_6,99738002,108000,57,30,49
153,builder_6,36279003,380900,45,35,42
154,builder_6,200030004,1536200,55,36,100
155,builder_6,58128989,164700,57,33,59
156,builder_6,190359984,18886600,56,30,100
157,builder_6,50731003,8536500,45,28,65
158,builder_6,87383992,1298780,55,29,60
159,builder_6,58558003,573810,63,41,74
160,builder_6,5849999,3130,57,37,8
161,builder_3,87396001,18060240,39,27,38
162,builder_7,80523000,8310,54,25,28
163,builder_6,350000,0,57,33,1
164,builder_6,364550008,20455010,47,32,100
165,builder_6,1080499996,18951760,63,40,100
166,builder_6,913669980,1293210,57,38,100
167,builder_6,183312995,47000,47,26,59
168,builder_6,272623998,445600,54,30,100
169,builder_6,129137003,998700,42,23,45
170,builder_6,156473009,461400,58,27,61
171,builder_6,353370013,1647100,64,42,100
172,builder_6,99738002,108000,57,30,49
173,builder_6,36279003,380900,45,35,42
174,builder_6,200030004,1536200,55,36,100
175,builder_6,58128989,164700,57,33,59
176,builder_6,190359984,18886600,56,30,100
177,builder_6,50731003,8536500,45,28,65
178,builder_6,87383992,1298780,55,29,60
179,builder_6,58558003,573810,63,41,74
180,builder_6,5849999,3130,57,37,8
181,builder_3,87396001,18060240,39,27,38
182,builder_7,80523000,8310,54,25,28
183,builder_6,350000,0,57,33,1
184,builder_6,364550008,20455010,47,32,100
185,builder_6,1080499996,18951760,63,40,100
186,builder_6,913669980,1293210,57,38,100
187,builder_6,183312995,47000,47,26,59
188,builder_6,272623998,445600,54,30,100
189,builder_6,129137003,998700,42,23,45
190,builder_6,156473009,461400,58,27,61
191,builder_6,353370013,1647100,64,42,100
192,builder_6,99738002,108000,57,30,49
193,builder_6,36279003,380900,45,35,42
194,builder_6,200030004,1536200,55,36,100
195,builder_6,58128989,164700,57,33,59
196,builder_6,190359984,18886600,56,30,100
197,builder_6,50731003,8536500,45,28,65
198,builder_6,87383992,1298780,55,29,60
199,builder_6,58558003,573810,63,41,74
200,builder_6,5849999,3130,57,37,8
201,builder_3,87396001,18060240,39,27,38
202,builder_7,80523000,8310,54,25,28
203,builder_6,350000,0,57,33,1
204,builder_6,364550008,20455010,47,32,100
