block_num,builder_id,total_gas_fee,total_mev,total_created_txs,total_attack_txs,included_txs
0,builder_6,5849999,3130,56,43,8
1,builder_6,5989999,3130,53,33,10
2,builder_6,276189999,18283380,40,27,75
3,builder_6,414875004,18306080,51,32,100
4,builder_6,224419001,882000,47,37,100
5,builder_6,40552007,193300,33,26,55
6,builder_6,52580996,176300,54,38,60
7,builder_6,64537993,964780,52,36,79
8,builder_6,29300003,317700,37,21,36
9,builder_6,88889998,1855220,48,30,98
10,builder_6,143570001,1570820,62,46,100
11,builder_6,154350012,1301900,58,40,100
12,builder_6,189100000,546800,54,42,100
13,builder_6,33397990,65400,41,26,34
14,builder_6,66235000,150200,60,45,83
15,builder_6,91420997,369100,50,35,71
16,builder_6,145480004,397200,59,40,100
17,builder_6,107619992,8773900,50,37,100
18,builder_6,119679989,13205700,53,42,100
19,builder_6,102516993,4844700,66,44,97
20,builder_6,5849999,3130,56,43,8
21,builder_6,5989999,3130,53,33,10
22,builder_6,276189999,18283380,40,27,75
23,builder_6,414875004,18306080,51,32,100
24,builder_6,224419001,882000,47,37,100
25,builder_6,40552007,193300,33,26,55
26,builder_6,52580996,176300,54,38,60
27,builder_6,64537993,964780,52,36,79
28,builder_6,29300003,317700,37,21,36
29,builder_6,88889998,1855220,48,30,98
30,builder_6,143570001,1570820,62,46,100
31,builder_6,154350012,1301900,58,40,100
32,builder_6,189100000,546800,54,42,100
33,builder_6,33397990,65400,41,26,34
34,builder_6,66235000,150200,60,45,83
35,builder_6,91420997,369100,50,35,71
36,builder_6,145480004,397200,59,40,100
37,builder_6,107619992,8773900,50,37,100
38,builder_6,119679989,13205700,53,42,100
39,builder_6,102516993,4844700,66,44,97
40,builder_6,5849999,3130,56,43,8
41,builder_6,5989999,3130,53,33,10
42,builder_6,276189999,18283380,40,27,75
43,builder_6,414875004,18306080,51,32,100
44,builder_6,224419001,882000,47,37,100
45,builder_6,40552007,193300,33,26,55
46,builder_6,52580996,176300,54,38,60
47,builder_6,64537993,964780,52,36,79
48,builder_6,29300003,317700,37,21,36
49,builder_6,88889998,1855220,48,30,98
50,builder_6,143570001,1570820,62,46,100
51,builder_6,154350012,1301900,58,40,100
52,builder_6,189100000,546800,54,42,100
53,builder_6,33397990,65400,41,26,34
54,builder_6,66235000,150200,60,45,83
55,builder_6,91420997,369100,50,35,71
56,builder_6,145480004,397200,59,40,100
57,builder_6,107619992,8773900,50,37,100
58,builder_6,119679989,13205700,53,42,100
59,builder_6,102516993,4844700,66,44,97
60,builder_6,5849999,3130,56,43,8
61,builder_6,5989999,3130,53,33,10
62,builder_6,276189999,18283380,40,27,75
63,builder_6,414875004,18306080,51,32,100
64,builder_6,224419001,882000,47,37,100
65,builder_6,40552007,193300,33,26,55
66,builder_6,52580996,176300,54,38,60
67,builder_6,64537993,964780,52,36,79
68,builder_6,29300003,317700,37,21,36
69,builder_6,88889998,1855220,48,30,98
70,builder_6,143570001,1570820,62,46,100
71,builder_6,154350012,1301900,58,40,100
72,builder_6,189100000,546800,54,42,100
73,builder_6,33397990,65400,41,26,34
74,builder_6,66235000,150200,60,45,83
75,builder_6,91420997,369100,50,35,71
76,builder_6,145480004,397200,59,40,100
77,builder_6,107619992,8773900,50,37,100
78,builder_6,119679989,13205700,53,42,100
79,builder_6,102516993,4844700,66,44,97
80,builder_6,5849999,3130,56,43,8
81,builder_6,5989999,3130,53,33,10
82,builder_6,276189999,18283380,40,27,75
83,builder_6,414875004,18306080,51,32,100
84,builder_6,224419001,882000,47,37,100
85,builder_6,40552007,193300,33,26,55
86,builder_6,52580996,176300,54,38,60
87,builder_6,64537993,964780,52,36,79
88,builder_6,29300003,317700,37,21,36
89,builder_6,88889998,1855220,48,30,98
90,builder_6,143570001,1570820,62,46,100
91,builder_6,154350012,1301900,58,40,100
92,builder_6,189100000,546800,54,42,100
93,builder_6,33397990,65400,41,26,34
94,builder_6,66235000,150200,60,45,83
95,builder_6,91420997,369100,50,35,71
96,builder_6,145480004,397200,59,40,100
97,builder_6,107619992,8773900,50,37,100
98,builder_6,119679989,13205700,53,42,100
99,builder_6,102516993,4844700,66,44,97
100,builder_6,5849999,3130,56,43,8
101,builder_6,5989999,3130,53,33,10
102,builder_6,276189999,18283380,40,27,75
103,builder_6,414875004,18306080,51,32,100
104,builder_6,224419001,882000,47,37,100
105,builder_6,40552007,193300,33,26,55
106,builder_6,52580996,176300,54,38,60
107,builder_6,64537993,964780,52,36,79
108,builder_6,29300003,317700,37,21,36
109,builder_6,88889998,1855220,48,30,98
110,builder_6,143570001,1570820,62,46,100
111,builder_6,154350012,1301900,58,40,100
112,builder_6,189100000,546800,54,42,100
113,builder_6,33397990,65400,41,26,34
114,builder_6,66235000,150200,60,45,83
115,builder_6,91420997,369100,50,35,71
116,builder_6,145480004,397200,59,40,100
117,builder_6,107619992,8773900,50,37,100
118,builder_6,119679989,13205700,53,42,100
119,builder_6,102516993,4844700,66,44,97
120,builder_6,5849999,3130,56,43,8
121,builder_6,5989999,3130,53,33,10
122,builder_6,276189999,18283380,40,27,75
123,builder_6,414875004,18306080,51,32,100
124,builder_6,224419001,882000,47,37,100
125,builder_6,40552007,193300,33,26,55
126,builder_6,52580996,176300,54,38,60
127,builder_6,64537993,964780,52,36,79
128,builder_6,29300003,317700,37,21,36
129,builder_6,88889998,1855220,48,30,98
130,builder_6,143570001,1570820,62,46,100
131,builder_6,154350012,1301900,58,40,100
132,builder_6,189100000,546800,54,42,100
133,builder_6,33397990,65400,41,26,34
134,builder_6,66235000,150200,60,45,83
135,builder_6,91420997,369100,50,35,71
136,builder_6,145480004,397200,59,40,100
137,builder_6,107619992,8773900,50,37,100
138,builder_6,119679989,13205700,53,42,100
139,builder_6,102516993,4844700,66,44,97
140,builder_6,5849999,3130,56,43,8
141,builder_6,5989999,3130,53,33,10
142,builder_6,276189999,18283380,40,27,75
143,builder_6,414875004,18306080,51,32,100
144,builder_6,224419001,882000,47,37,100
145,builder_6,40552007,193300,33,26,55
146,builder_6,52580996,176300,54,38,60
147,builder_6,64537993,964780,52,36,79
148,builder_6,29300003,317700,37,21,36
149,builder_6,88889998,1855220,48,30,98
150,builder_6,143570001,1570820,62,46,100
151,builder_6,154350012,1301900,58,40,100
152,builder_6,189100000,546800,54,42,100
153,builder_6,33397990,65400,41,26,34
154,builder_6,66235000,150200,60,45,83
155,builder_6,91420997,369100,50,35,71
156,builder_6,145480004,397200,59,40,100
157,builder_6,107619992,8773900,50,37,100
158,builder_6,119679989,13205700,53,42,100
159,builder_6,102516993,4844700,66,44,97
160,builder_6,5849999,3130,56,43,8
161,builder_6,5989999,3130,53,33,10
162,builder_6,276189999,18283380,40,27,75
163,builder_6,414875004,18306080,51,32,100
164,builder_6,224419001,882000,47,37,100
165,builder_6,40552007,193300,33,26,55
166,builder_6,52580996,176300,54,38,60
167,builder_6,64537993,964780,52,36,79
168,builder_6,29300003,317700,37,21,36
169,builder_6,88889998,1855220,48,30,98
170,builder_6,143570001,1570820,62,46,100
171,builder_6,154350012,1301900,58,40,100
172,builder_6,189100000,546800,54,42,100
173,builder_6,33397990,65400,41,26,34
174,builder_6,66235000,150200,60,45,83
175,builder_6,91420997,369100,50,35,71
176,builder_6,145480004,397200,59,40,100
177,builder_6,107619992,8773900,50,37,100
178,builder_6,119679989,13205700,53,42,100
179,builder_6,102516993,4844700,66,44,97
180,builder_6,5849999,3130,56,43,8
181,builder_6,5989999,3130,53,33,10
182,builder_6,276189999,18283380,40,27,75
183,builder_6,414875004,18306080,51,32,100
184,builder_6,224419001,882000,47,37,100
185,builder_6,40552007,193300,33,26,55
186,builder_6,52580996,176300,54,38,60
187,builder_6,64537993,964780,52,36,79
188,builder_6,29300003,317700,37,21,36
189,builder_6,88889998,1855220,48,30,98
190,builder_6,143570001,1570820,62,46,100
191,builder_6,154350012,1301900,58,40,100
192,builder_6,189100000,546800,54,42,100
193,builder_6,33397990,65400,41,26,34
194,builder_6,66235000,150200,60,45,83
195,builder_6,91420997,369100,50,35,71
196,builder_6,145480004,397200,59,40,100
197,builder_6,107619992,8773900,50,37,100
198,builder_6,119679989,13205700,53,42,100
199,builder_6,102516993,4844700,66,44,97
200,builder_6,5849999,3130,56,43,8
201,builder_6,5989999,3130,53,33,10
202,builder_6,276189999,18283380,40,27,75
203,builder_6,414875004,18306080,51,32,100
204,builder_6,224419001,882000,47,37,100
205,builder_6,40552007,193300,33,26,55
206,builder_6,52580996,176300,54,38,60
207,builder_6,64537993,964780,52,36,79
208,builder_6,29300003,317700,37,21,36
209,builder_6,88889998,1855220,48,30,98
210,builder_6,143570001,1570820,62,46,100
211,builder_6,154350012,1301900,58,40,100
212,builder_6,189100000,546800,54,42,100
213,builder_6,33397990,65400,41,26,34
214,builder_6,66235000,150200,60,45,83
215,builder_6,91420997,369100,50,35,71
216,builder_6,145480004,397200,59,40,100
217,builder_6,107619992,8773900,50,37,100
218,builder_6,119679989,13205700,53,42,100
219,builder_6,102516993,4844700,66,44,97
220,builder_6,5849999,3130,56,43,8
