block_num,builder_id,total_gas_fee,total_mev,total_created_txs,total_attack_txs,included_txs
0,builder_6,5849999,3130,58,32,8
1,builder_6,17966998,22830,46,24,31
2,builder_6,56726007,18126530,60,26,64
3,builder_6,275629000,1328730,54,27,84
4,builder_6,588546998,1000000,51,19,68
5,builder_6,315974998,18600,50,27,23
6,builder_6,319440001,157800,41,18,19
7,builder_6,1383459997,4709700,50,26,100
8,builder_6,2370000,0,57,24,2
9,builder_6,150214006,756200,53,25,56
10,builder_6,530650004,1267330,64,24,100
11,builder_6,60966996,1571300,63,25,87
12,builder_6,96237001,2132290,61,33,69
13,builder_6,34240004,123100,45,28,63
14,builder_6,160000,73100,45,21,1
15,builder_6,107264001,676400,60,26,93
16,builder_6,180760016,731000,55,25,100
17,builder_6,229779997,1262400,48,25,100
18,builder_6,67064995,497500,56,33,44
19,builder_6,125096004,5459190,46,22,89
20,builder_6,5849999,3130,58,32,8
21,builder_6,17966998,22830,46,24,31
22,builder_6,56726007,18126530,60,26,64
23,builder_6,275629000,1328730,54,27,84
24,builder_6,588546998,1000000,51,19,68
25,builder_6,315974998,18600,50,27,23
26,builder_6,319440001,157800,41,18,19
27,builder_6,1383459997,4709700,50,26,100
28,builder_6,2370000,0,57,24,2
29,builder_6,150214006,756200,53,25,56
30,builder_6,530650004,1267330,64,24,100
31,builder_6,60966996,1571300,63,25,87
32,builder_6,96237001,2132290,61,33,69
33,builder_6,34240004,123100,45,28,63
34,builder_6,160000,73100,45,21,1
35,builder_6,107264001,676400,60,26,93
36,builder_6,180760016,731000,55,25,100
37,builder_6,229779997,1262400,48,25,100
38,builder_6,67064995,497500,56,33,44
39,builder_6,125096004,5459190,46,22,89
40,builder_6,5849999,3130,58,32,8
41,builder_6,17966998,22830,46,24,31
42,builder_6,56726007,18126530,60,26,64
43,builder_6,275629000,1328730,54,27,84
44,builder_6,588546998,1000000,51,19,68
45,builder_6,315974998,18600,50,27,23
46,builder_6,319440001,157800,41,18,19
47,builder_6,1383459997,4709700,50,26,100
48,builder_6,2370000,0,57,24,2
49,builder_6,150214006,756200,53,25,56
50,builder_6,530650004,1267330,64,24,100
51,builder_6,60966996,1571300,63,25,87
52,builder_6,96237001,2132290,61,33,69
53,builder_6,34240004,123100,45,28,63
54,builder_6,160000,73100,45,21,1
55,builder_6,107264001,676400,60,26,93
56,builder_6,180760016,731000,55,25,100
57,builder_6,229779997,1262400,48,25,100
58,builder_6,67064995,497500,56,33,44
59,builder_6,125096004,5459190,46,22,89
60,builder_6,5849999,3130,58,32,8
61,builder_6,17966998,22830,46,24,31
62,builder_6,56726007,18126530,60,26,64
63,builder_6,275629000,1328730,54,27,84
64,builder_6,588546998,1000000,51,19,68
65,builder_6,315974998,18600,50,27,23
66,builder_6,319440001,157800,41,18,19
67,builder_6,1383459997,4709700,50,26,100
68,builder_6,2370000,0,57,24,2
69,builder_6,150214006,756200,53,25,56
70,builder_6,530650004,1267330,64,24,100
71,builder_6,60966996,1571300,63,25,87
72,builder_6,96237001,2132290,61,33,69
73,builder_6,34240004,123100,45,28,63
74,builder_6,160000,73100,45,21,1
75,builder_6,107264001,676400,60,26,93
76,builder_6,180760016,731000,55,25,100
77,builder_6,229779997,1262400,48,25,100
78,builder_6,67064995,497500,56,33,44
79,builder_6,125096004,5459190,46,22,89
80,builder_6,5849999,3130,58,32,8
81,builder_6,17966998,22830,46,24,31
82,builder_6,56726007,18126530,60,26,64
83,builder_6,275629000,1328730,54,27,84
84,builder_6,588546998,1000000,51,19,68
85,builder_6,315974998,18600,50,27,23
86,builder_6,319440001,157800,41,18,19
87,builder_6,1383459997,4709700,50,26,100
88,builder_6,2370000,0,57,24,2
89,builder_6,150214006,756200,53,25,56
90,builder_6,530650004,1267330,64,24,100
91,builder_6,60966996,1571300,63,25,87
