node_id,avg_latency,degree
user_0,1.1093441757798348,15
user_1,1.4512500823778884,13
user_2,1.145681303405419,11
user_3,1.124868226846875,22
user_4,1.2080142942626055,9
user_5,1.2214974403300212,5
user_6,1.1066772127940394,16
user_7,1.3697885231268143,5
user_8,1.4331741665685456,3
user_9,1.2339953373101307,7
user_10,1.1229261496770888,2
user_11,1.4233589468416505,15
user_12,1.2037261982517449,4
user_13,1.4191918144673672,6
user_14,1.2074340522437108,4
user_15,1.5872274412153373,5
user_16,1.4532835199444527,9
user_17,1.2649646131953918,11
user_18,1.565397264585758,5
user_19,1.9974082638809627,2
user_20,2.2559335567105196,3
user_21,1.939124565360935,2
user_22,1.3437810940273243,3
user_23,2.5335997356312303,2
user_24,1.4283630607550983,2
user_25,2.246595173223889,5
user_26,1.551328677334532,4
user_27,1.3990255302176617,5
user_28,2.5048180814682457,3
user_29,1.737707551139712,3
user_30,1.3306245507932766,3
user_31,2.2424036373354914,2
user_32,1.248687389974165,4
user_33,3.286285774625781,3
user_34,2.594269491532807,4
user_35,1.2400633258773288,4
user_36,1.2369747762951613,4
user_37,1.3051564236244693,2
user_38,2.3516182340601097,2
user_39,3.301057071345669,3
user_40,1.4672802897884758,4
user_41,3.216634105670555,2
user_42,2.464079374031312,3
user_43,1.3023963167345156,3
user_44,2.338458254010695,3
user_45,1.3353038622639992,6
user_46,2.437334658505077,2
user_47,1.4367968678717888,2
user_48,1.3526050626335941,2
user_49,2.0651287847911486,2
builder_0,1.4664177366099604,3
builder_1,2.6198466893959353,2
builder_2,2.010840740225662,3
builder_3,1.7446961310340925,5
builder_4,2.3457819629088936,2
builder_5,2.60667692476525,2
builder_6,3.2482548820395816,4
builder_7,3.570501707211102,3
builder_8,2.1964479901801663,2
builder_9,2.7755622838328833,2
builder_10,2.5398062574632156,4
builder_11,2.8681222213887394,3
builder_12,2.6386826619575974,2
builder_13,1.4979019347120435,2
builder_14,1.109684821512085,2
builder_15,1.7594370715301333,2
builder_16,1.8435725355284747,2
builder_17,2.650027258594402,2
builder_18,2.636302154967291,2
builder_19,2.2011133677109878,2
proposer_0,1.3203738448244033,2
proposer_1,2.686404322993481,2
proposer_2,1.3328717418045126,2
proposer_3,2.029925368231367,2
proposer_4,1.5521599244388349,2
proposer_5,2.746723917082888,2
proposer_6,2.1964369344643155,2
proposer_7,3.2816602731077227,2
proposer_8,2.6483874125392015,2
proposer_9,1.7063531470699689,2
proposer_10,1.972698580744747,2
proposer_11,2.559741219787505,2
proposer_12,2.5745714605379764,2
proposer_13,1.4546994638513857,2
proposer_14,1.9437789896375197,2
proposer_15,2.8523860817251263,2
proposer_16,1.3389494887174611,2
proposer_17,1.6838566546984832,2
proposer_18,1.9035584190888426,2
proposer_19,2.3277754864375133,2
