block_id,total_gas,total_mev_captured,validator_type,validator_id
1,585030000,26074110,attack,727
2,872877000,53915440,attack,709
3,752270000,67928790,normal,739
4,706873000,19616400,normal,734
5,696590000,83196240,normal,732
6,742990000,33915140,attack,704
7,722020000,12270520,normal,750
8,815340000,45399930,normal,744
9,642200000,27350700,normal,745
10,691600000,4695620,attack,710
11,851650000,27128000,attack,709
12,518560000,22987620,attack,730
13,819010000,40375600,normal,731
14,523470000,8476490,attack,717
15,739600000,9874500,attack,716
16,521420000,26300840,attack,701
17,927510000,43151270,normal,734
18,769000000,802900,normal,735
19,611870000,40779100,attack,701
20,722680000,22559700,attack,702
21,726480000,33652860,normal,740
22,851930000,40790740,attack,701
23,518550000,11947230,attack,710
24,751470000,14310200,attack,714
25,993600000,59354400,normal,747
26,475000000,7815000,attack,710
27,663316000,76309670,attack,717
28,723750000,51096960,normal,747
29,700322000,85385080,normal,748
30,758440000,19505530,normal,735
31,803893000,44152900,normal,745
32,696850000,32452200,attack,713
33,769000000,1372900,attack,726
34,748210000,16389700,normal,742
35,650890000,38100700,normal,738
36,723810000,19898890,attack,704
37,660540000,44984500,attack,712
38,714427000,40438300,attack,714
39,557382000,27396900,attack,713
40,599385000,25678170,normal,736
41,652560000,51094300,attack,706
42,821090000,72131120,attack,710
43,734290000,36296730,normal,737
44,860300000,18334740,attack,712
45,787120000,9201800,attack,713
46,790600000,12829300,attack,704
47,696080000,22515420,attack,707
48,800100000,43259230,normal,734
49,712670000,29893900,attack,711
50,779607000,58041500,normal,744
